CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Méfait;2018-03-27;jour;38;45.5264531899901;-73.5806709140782
Méfait;2018-03-27;jour;38;45.5151412092568;-73.5682751300206
Vol dans / sur véhicule à moteur;2018-03-27;soir;38;45.5258130498679;-73.5989011657819
Introduction;2018-03-27;nuit;39;45.613879319565;-73.6178634254007
Introduction;2018-03-27;nuit;39;45.614951182175;-73.6190354714133
Introduction;2018-03-27;jour;39;45.6008658778419;-73.6284446072412
Introduction;2018-03-27;soir;39;45.5996332083284;-73.6238695021831
Méfait;2018-03-27;jour;39;45.5883946131412;-73.631677712793
Vol de véhicule à moteur;2018-03-27;soir;42;45.5879262382771;-73.6109285996731
Méfait;2018-03-27;jour;44;45.5466968597724;-73.5837193070071
Vol dans / sur véhicule à moteur;2018-03-27;nuit;44;45.5563825335523;-73.5544167642413
Vol dans / sur véhicule à moteur;2018-03-27;jour;45;45.6345953111101;-73.5760417496969
Vol dans / sur véhicule à moteur;2018-03-27;nuit;46;45.6085254324603;-73.5817211847714
Vol de véhicule à moteur;2018-03-27;jour;46;45.6175073076715;-73.5726726781659
Vol de véhicule à moteur;2018-03-27;jour;46;45.6103400192919;-73.5473092353369
Méfait;2018-03-27;jour;48;45.5827675534282;-73.5430334137262
Vol dans / sur véhicule à moteur;2018-03-27;soir;48;45.5898905456755;-73.5390186091298
Introduction;2018-03-27;soir;49;45.6685430530127;-73.4957897753265
Méfait;2018-03-27;jour;49;45.6400032046037;-73.4902325314333
Méfait;2018-03-27;soir;50;45.5687765011599;-73.5456400482024
Méfait;2018-03-27;soir;50;45.5033666350064;-73.6184193024267
Vol de véhicule à moteur;2018-03-26;soir;1;45.4042764743263;-73.9535078196314
Vols qualifiés;2018-03-26;soir;1;45.4467125231857;-73.853128276066
Méfait;2018-03-26;nuit;3;45.5100861067195;-73.8069431221708
Méfait;2018-03-26;soir;5;45.4390291701738;-73.8270839714686
Vol dans / sur véhicule à moteur;2018-03-26;soir;5;45.4625627564722;-73.8292167425863
Introduction;2018-03-26;jour;7;45.4898273659745;-73.7393890707504
Introduction;2018-03-26;nuit;7;45.4802065280069;-73.7479514904976
Introduction;2018-03-26;soir;7;45.5272110364498;-73.6912506485378
Introduction;2018-03-26;jour;7;45.5122576971673;-73.691681480745
Vol dans / sur véhicule à moteur;2018-03-26;nuit;7;45.5046015862949;-73.6811674190436
Vol dans / sur véhicule à moteur;2018-03-26;jour;7;45.508689767267;-73.6857127458201
Vol de véhicule à moteur;2018-03-26;jour;7;45.4802065280069;-73.7479514904976
